release_tag	release_commit	module	package	api_status	test_status	observed_percent
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/httpx/identity	stable	direct-tests	45.7
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/httpx/recover	stable	direct-tests	53.3
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/idempotent	stable	direct-tests	77.8
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/auth/apikey	stable	direct-tests	79.7
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/auth/authz	stable	direct-tests	77.6
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/auth/jwt	stable	direct-tests	40.0
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/auth/tenant	stable	direct-tests	84.0
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/deprecation	stable	direct-tests	83.3
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/idempotency	stable	direct-tests	71.6
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/json	stable	direct-tests	55.9
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/maxbody	stable	direct-tests	28.6
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/querylimits	stable	direct-tests	51.7
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/ratelimit	stable	direct-tests	68.6
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/secure	stable	direct-tests	76.4
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/timeout	stable	direct-tests	81.9
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/middleware/trace	stable	direct-tests	80.2
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/negotiation	stable	direct-tests	83.8
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/oauth2	stable	direct-tests	97.2
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/operations	stable	direct-tests	77.1
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/ports	stable	direct-tests	62.5
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/queryparams	stable	direct-tests	86.7
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/routecontracts	stable	direct-tests	83.9
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/routepolicy	stable	direct-tests	73.7
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/scheduler	stable	direct-tests	89.9
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/scheduler/migrations	compatibility-only	direct-tests	no-statements
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/securityprofile	stable	direct-tests	66.3
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/specs	stable	direct-tests	82.9
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/swagstub	compatibility-only	direct-tests	68.2
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/upload	stable	direct-tests	95.8
v3.0.0	990489dbcc2c3388bbc1c7f28a2cd9d2182b3434	root	github.com/aatuh/api-toolkit/v3/webhooks	stable	direct-tests	80.0
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	(aggregate)	aggregate	aggregate	66.3
